[Games{iD=1, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Trebeusz', whitePlayerRating=2022, blackPlayerRating=2032, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=47, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2015, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=48, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2016, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=49, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=50, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Deny', whitePlayerRating=2017, blackPlayerRating=2052, result=DRAW, ECO='A99', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=51, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2018, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=52, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Trebeusz', whitePlayerRating=2022, blackPlayerRating=2032, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=53, whitePlayerAccountName='Zofia', blackPlayerAccountName='Rapier', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='A14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=54, whitePlayerAccountName='Matylda', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2022, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=55, whitePlayerAccountName='Ewe', blackPlayerAccountName='Wiktor', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=56, whitePlayerAccountName='Deny', blackPlayerAccountName='Damian', whitePlayerRating=2411, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=57, whitePlayerAccountName='Toudi', blackPlayerAccountName='Wojtek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=58, whitePlayerAccountName='Bielcu', blackPlayerAccountName='Damian', whitePlayerRating=2021, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=59, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=60, whitePlayerAccountName='Hrabia', blackPlayerAccountName='Grazyna', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=61, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Toudi', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=62, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=63, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=64, whitePlayerAccountName='Huncwot', blackPlayerAccountName='FajnyGosc', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=65, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=66, whitePlayerAccountName='Marcel', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=67, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Guska', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=68, whitePlayerAccountName='Ksieciu', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=69, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Krajan', whitePlayerRating=2111, blackPlayerRating=2152, result=DRAW, ECO='C14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=70, whitePlayerAccountName='Guska', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='E34', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=71, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='D21', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=72, whitePlayerAccountName='Gorgona', blackPlayerAccountName='Fiolek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=73, whitePlayerAccountName='Witold', blackPlayerAccountName='Bonifacy', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=74, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=75, whitePlayerAccountName='Domi', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=76, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=77, whitePlayerAccountName='Trebeusz', blackPlayerAccountName='Iwona', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=78, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=79, whitePlayerAccountName='Deny', blackPlayerAccountName='Ewe', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=80, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Bronislaw', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=81, whitePlayerAccountName='Domi', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=82, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=83, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Ewe', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=84, whitePlayerAccountName='Ewe', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=85, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=86, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='E12', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=87, whitePlayerAccountName='Ksieciu', blackPlayerAccountName='Trebeusz', whitePlayerRating=2211, blackPlayerRating=2452, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=88, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=89, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Domi', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=90, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=91, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2010, blackPlayerRating=2051, result=DRAW, ECO='A90', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=92, whitePlayerAccountName='Gil', blackPlayerAccountName='Damian', whitePlayerRating=2019, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=93, whitePlayerAccountName='Niania', blackPlayerAccountName='Damian', whitePlayerRating=2211, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=94, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2311, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=95, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2411, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=96, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2611, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=97, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2111, blackPlayerRating=2052, result=DRAW, ECO='B07', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=98, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2021, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=99, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2031, blackPlayerRating=2052, result=DRAW, ECO='B08', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=100, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2041, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=101, whitePlayerAccountName='Ul', blackPlayerAccountName='Damian', whitePlayerRating=2051, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=102, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2061, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=103, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2071, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=104, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=105, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=106, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=107, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B19', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=108, whitePlayerAccountName='Damian', blackPlayerAccountName='Wojtek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=109, whitePlayerAccountName='Damian', blackPlayerAccountName='Wojtek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=110, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=111, whitePlayerAccountName='Wieprz', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=112, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Fajfus', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=113, whitePlayerAccountName='Bastian', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=114, whitePlayerAccountName='Deny', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=115, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=116, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Deny', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='A00', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=117, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=118, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=119, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=120, whitePlayerAccountName='Damian', blackPlayerAccountName='Nostradamus', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='C00', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=121, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=122, whitePlayerAccountName='Indianin', blackPlayerAccountName='Bastian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=123, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='C10', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
